,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,vaccine_fees,session_id,date,available_capacity,min_age_limit,vaccine,slots,available_capacity_dose1,available_capacity_dose2
7,692172,Hindu Rao Hospital SITE 5,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '8e5d3d75-da02-4fa0-8b42-e8d527c37616', 'date': '20-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,8e5d3d75-da02-4fa0-8b42-e8d527c37616,20-05-2021,0,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",0,0
7,692172,Hindu Rao Hospital SITE 5,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '81f15d58-da58-4015-86c2-f4a616ab726f', 'date': '21-05-2021', 'available_capacity': 1, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 1}",,81f15d58-da58-4015-86c2-f4a616ab726f,21-05-2021,1,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",0,1
7,692172,Hindu Rao Hospital SITE 5,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '4d208b32-e766-43fe-ab47-98615e5e2a14', 'date': '22-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:30PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,4d208b32-e766-43fe-ab47-98615e5e2a14,22-05-2021,0,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:30PM']",0,0
7,692172,Hindu Rao Hospital SITE 5,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '61706bf5-4dab-48bd-853f-2b77772c41e7', 'date': '24-05-2021', 'available_capacity': 1, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 1, 'available_capacity_dose2': 0}",,61706bf5-4dab-48bd-853f-2b77772c41e7,24-05-2021,1,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",1,0
7,692172,Hindu Rao Hospital SITE 5,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': 'a6be6b99-cf46-4123-9ce8-5b61b4b7e3a1', 'date': '25-05-2021', 'available_capacity': 7, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 6, 'available_capacity_dose2': 1}",,a6be6b99-cf46-4123-9ce8-5b61b4b7e3a1,25-05-2021,7,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",6,1
7,692172,Hindu Rao Hospital SITE 5,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '36ee518e-f891-4260-a6f2-dc94449ba7aa', 'date': '26-05-2021', 'available_capacity': 171, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 93, 'available_capacity_dose2': 78}",,36ee518e-f891-4260-a6f2-dc94449ba7aa,26-05-2021,171,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",93,78
8,693787,VBGSSS NPL COLONY SITE 2,NPL Colony New Rajinder Nagar,Delhi,Central Delhi,Not Applicable,110060,28,77,09:00:00,17:00:00,Free,"{'session_id': '6b943f35-f931-484e-a23a-d0a29f14e096', 'date': '20-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,6b943f35-f931-484e-a23a-d0a29f14e096,20-05-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
9,702680,SKV Timarpur,Timar Pur Delhi,Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': '0e63d47e-df62-4380-ac92-30a2429c4e03', 'date': '20-05-2021', 'available_capacity': 46, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 21, 'available_capacity_dose2': 25}",,0e63d47e-df62-4380-ac92-30a2429c4e03,20-05-2021,46,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",21,25
10,4806,DGD Wazirabad PHC,"Plot No.1, Street No.3, Main Road, Wazirabad Village, Delhi-110084",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': 'fb15e819-adcf-48b3-b9ae-60a16aefe20f', 'date': '20-05-2021', 'available_capacity': 25, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 25}",,fb15e819-adcf-48b3-b9ae-60a16aefe20f,20-05-2021,25,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,25
10,4806,DGD Wazirabad PHC,"Plot No.1, Street No.3, Main Road, Wazirabad Village, Delhi-110084",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': '303a459b-490f-452b-a4d6-e01d0f195d9d', 'date': '22-05-2021', 'available_capacity': 14, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 14}",,303a459b-490f-452b-a4d6-e01d0f195d9d,22-05-2021,14,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,14
10,4806,DGD Wazirabad PHC,"Plot No.1, Street No.3, Main Road, Wazirabad Village, Delhi-110084",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': 'e44c1c8e-c72d-426b-8350-3e63861242e1', 'date': '24-05-2021', 'available_capacity': 40, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 15, 'available_capacity_dose2': 25}",,e44c1c8e-c72d-426b-8350-3e63861242e1,24-05-2021,40,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",15,25
10,4806,DGD Wazirabad PHC,"Plot No.1, Street No.3, Main Road, Wazirabad Village, Delhi-110084",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': 'b82732b7-46dc-4dbd-ac5f-825efc0962d6', 'date': '25-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 23, 'available_capacity_dose2': 16}",,b82732b7-46dc-4dbd-ac5f-825efc0962d6,25-05-2021,39,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",23,16
11,672068,Balak Ram Hospital SITE 6,"BALAK RAM HOSPITAL, TIMAR PUR DELHI 110054",Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,18:00:00,Free,"{'session_id': '9f9c51bf-dac2-44b8-9642-64baaa99cb31', 'date': '20-05-2021', 'available_capacity': 196, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM'], 'available_capacity_dose1': 97, 'available_capacity_dose2': 99}",,9f9c51bf-dac2-44b8-9642-64baaa99cb31,20-05-2021,196,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",97,99
11,672068,Balak Ram Hospital SITE 6,"BALAK RAM HOSPITAL, TIMAR PUR DELHI 110054",Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,18:00:00,Free,"{'session_id': '8003d147-8fae-4542-82ee-db8bad641b0f', 'date': '21-05-2021', 'available_capacity': 195, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM'], 'available_capacity_dose1': 95, 'available_capacity_dose2': 100}",,8003d147-8fae-4542-82ee-db8bad641b0f,21-05-2021,195,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",95,100
11,672068,Balak Ram Hospital SITE 6,"BALAK RAM HOSPITAL, TIMAR PUR DELHI 110054",Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,18:00:00,Free,"{'session_id': 'f17e0054-60ed-44f4-9928-b982f55362ff', 'date': '22-05-2021', 'available_capacity': 197, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM'], 'available_capacity_dose1': 98, 'available_capacity_dose2': 99}",,f17e0054-60ed-44f4-9928-b982f55362ff,22-05-2021,197,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",98,99
11,672068,Balak Ram Hospital SITE 6,"BALAK RAM HOSPITAL, TIMAR PUR DELHI 110054",Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,18:00:00,Free,"{'session_id': 'e0ada92d-2f7e-45e8-b26b-5d0bee248d72', 'date': '23-05-2021', 'available_capacity': 179, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM'], 'available_capacity_dose1': 79, 'available_capacity_dose2': 100}",,e0ada92d-2f7e-45e8-b26b-5d0bee248d72,23-05-2021,179,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",79,100
11,672068,Balak Ram Hospital SITE 6,"BALAK RAM HOSPITAL, TIMAR PUR DELHI 110054",Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,18:00:00,Free,"{'session_id': '3df626a0-1815-4ed0-8663-5ae3aa6db8b8', 'date': '24-05-2021', 'available_capacity': 198, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM'], 'available_capacity_dose1': 100, 'available_capacity_dose2': 98}",,3df626a0-1815-4ed0-8663-5ae3aa6db8b8,24-05-2021,198,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",100,98
11,672068,Balak Ram Hospital SITE 6,"BALAK RAM HOSPITAL, TIMAR PUR DELHI 110054",Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,18:00:00,Free,"{'session_id': '808f9e76-2b4f-44fa-abce-20fe491d65f0', 'date': '25-05-2021', 'available_capacity': 191, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM'], 'available_capacity_dose1': 91, 'available_capacity_dose2': 100}",,808f9e76-2b4f-44fa-abce-20fe491d65f0,25-05-2021,191,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",91,100
11,672068,Balak Ram Hospital SITE 6,"BALAK RAM HOSPITAL, TIMAR PUR DELHI 110054",Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,18:00:00,Free,"{'session_id': '1745f819-55bd-4c01-9e24-69877a0faa59', 'date': '26-05-2021', 'available_capacity': 195, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM'], 'available_capacity_dose1': 99, 'available_capacity_dose2': 96}",,1745f819-55bd-4c01-9e24-69877a0faa59,26-05-2021,195,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",99,96
12,4422,Dr. N.C. Joshi Hospital,"Joshi Road, Karol Bagh, New Delhi-110005",Delhi,Central Delhi,Not Applicable,110005,28,77,09:00:00,17:00:00,Free,"{'session_id': 'd97772fc-ce6c-4b31-b131-1ffeaa592e22', 'date': '20-05-2021', 'available_capacity': 56, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 2, 'available_capacity_dose2': 54}",,d97772fc-ce6c-4b31-b131-1ffeaa592e22,20-05-2021,56,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",2,54
